标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
英雄联盟LOL王者教学：诺克萨斯之手德莱厄斯诺手,lol超神解说lol,,1970-01-01 08:00:00,,0,0,1083,0,,,
每3秒一个3674护盾！LOL设计师疯了！最逆天叠甲流玩法！【有点骚东西】,上海滩许Van强,BV1yc411K7bm,2023-05-13 11:54:45,10:43,7188,142632,2614360,14269,电子竞技,"搞笑,LOL,英雄联盟,电子竞技,套路,MOBA,缝合怪,骚套路,盲森,2023英雄联盟MSI",欢迎英雄联盟、只狼:影逝二度、最终幻想、巫师、帝国时代、QQ飞车、王者荣耀、英雄连、街头霸王、超级马里奥、拳皇、三国杀、魂斗罗、大富翁、永劫无间、星际争霸、暗黑破坏神、炉石传说、剑灵、逆战、DNF、QQ炫舞、穿越火线、欢乐斗地主、天涯明月刀、堡垒之夜、怪物猎人、极品飞车、金铲铲、三国志、仙剑奇侠传、辐射、上古卷轴、无主之地、艾尔登法环、黑暗之魂、血源诅咒、绝地求生、光遇、和平精英、我的世界、泰拉瑞亚、森林、远哭、刺客信条、求生之路、反恐精英、狼人杀、战神、侠盗猎车、红色警戒、刀塔、梦幻西游、植物大战僵尸、
十年前LOL有多离谱？盘点老玩家才知道的联盟奇人轶事……,上海滩许Van强,BV1zM411L75H,2023-04-20 17:13:08,8:13,8325,65975,1233578,8579,电子竞技,"怀旧,回忆,科普,英雄联盟,网络游戏,电子竞技,杂谈,游戏资讯,MOBA,英雄联盟春日激励","能不能用一句话来证明你是英雄联盟老玩家？
我先来:对面四个6300，这把输了"
Sask看LOL史上堪比断头饭的离谱加强 看到小法师重做后拳头被喷：其实我觉得还是老版小法师厉害，新版的不咋地！,火播君,BV1q79nY8EAY,2025-03-04 17:27:39,7:15,143,869,185507,101,电子竞技,"LOL,英雄联盟,电子竞技,小法,版本,LPL,脚神,Sask","英雄联盟
Sask脚神直播间：huya579236"
108888层心之钢开箱，祝各位LOL玩家龙年发发发！,凉月CooLMooN,BV1pw4m1f7kE,2024-02-27 04:17:44,14:3,5200,39142,1465170,3003,电子竞技,"LOL,英雄联盟,皮肤,电子竞技,账号,抽奖,MOBA,玩英雄联盟玩的","想对一直在等这个视频的观众们说声抱歉。过年比较忙，剪视频又不太熟练，久等了。
108888层心之钢，大概9w层是抽奖攒的，最后买了点东西凑了一个吉利数字。
可以开36次宝箱，希望你不要看睡着，反正我差点开睡着了。
祝看到视频的各位，龙年行大运，108888！"
送死流钻石晋级赛，40分钟大乱斗，最血腥的一集！,我才是熊猫大G,BV12SoeYdErR,2025-03-26 17:00:50,15:14,569,3042,64004,102,电子竞技,"搞笑,英雄联盟,塞恩,偷家,大G,偷塔流,送死流,送死流塞恩,下饭操作,万物皆可游戏",
英雄联盟LOL王者教学：德玛西亚皇子嘉文四世,lol超神解说lol,,1970-01-01 08:00:00,,0,0,481,0,,,
【英雄联盟】2015年的一盘完整青铜匹配对局，见证了多个老英雄，刚开始接触这个游戏,小狼llll,BV1wB4y1b7ho,2022-07-24 19:42:30,43:21,2888,10011,396588,2405,电子竞技,"暑假狂欢季,宅家游戏实录,英雄联盟LOL,青铜,第一视角,新人,怀旧,LOL,娱乐,LOL英雄联盟","视频录制时间：2015.11.21
分享以前录的一些视频，当时刚刚接触这个游戏，完全没有操作和理解
视频时长很长，感谢大家能够看完！"
【2025LPL第二赛段】3月25日 TES vs NIP,哔哩哔哩英雄联盟赛事,BV1CCotYiEDL,2025-03-25 19:56:04,48:42,1521,1975,263076,214,电子竞技,"英雄联盟,TES,电子竞技,NIP,LPL,游戏赛事,lol,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】3月25日 TES vs NIP
这lol的语音系统真有用吧！我们五个像是好朋友在开黑！,攻其不备螃蟹王,BV1YHrKY7EhL,2025-01-05 16:39:27,11:15,2257,27134,519498,1277,网络游戏,"娱乐,英雄联盟,电子竞技,语音系统,厄加特,MOBA,lol,英雄联盟最前线",
这个视频会让你爱上faker，致曾经的世界最强！This Video Will Make You Love Faker-lol 英雄联盟 SKT T1,锐雯DissRiven,BV1fx411j7Np,2017-11-10 02:42:01,10:16,18332,69166,5564553,51504,电子竞技,"英雄联盟,电子竞技,超级小智,lol,SKT,lol小智,Faker,TIME","永远的神。
▶Music  :
Vicetone - Nevada (feat. Cozi Zuehlsdorff) 

[Indie Dance] - LVTHER - Some Kind Of Magic

Cartoon feat. Jüri Pootsmann - I Remember U [NCS Official Video]

[Glitch Hop _ 110BPM] - Razihel - Bad Boy

▶SK T1 Telecom:
▶Official Website : http"
我破防了！lol那些各种各样的妹子玩家们!,守护茶茶,BV1WL411t7G4,2021-09-03 16:32:49,13:1,19950,77747,1709691,14730,电子竞技,"英雄联盟10周年,网络游戏,英雄联盟LOL,电子竞技,娱乐,游戏杂谈",发表一些感言，看看大伙是不是这样想的。
英雄联盟LOL王者教学：暗裔剑魔亚托克斯,lol超神解说lol,,1970-01-01 08:00:00,,0,0,1054,0,,,
理性分析LPL强度堪忧？如何评价TES三连胜小组第一？,分析师蓝宝石,BV1pvoYY7EHF,2025-03-26 10:08:48,10:48,775,3362,186913,337,电子竞技,"JKL,TES,BLG,IG,NIP,LCK,小奶油,Doinb,JDG,2025LPL第二赛段,LPL激励计划第二赛段",
LOL各英雄是如何评价其他英雄的？英雄联盟彩蛋配音台词2023年度大合集！,艾黎ike,BV17c411S7tp,2023-12-12 13:11:07,114:46,2173,20713,490342,15418,GMV,"LOL,配音,英雄联盟,台词,GMV,电子竞技,游戏杂谈,影视混剪,2023热门年度盘点,2023你的年度游戏总结",-
艾莎和长发公主在医院！35个LOL惊喜小技巧,LaLiLu创意手工,BV1AM4y1n7Uh,2023-06-23 15:00:00,32:30,137,1120,583712,1367,手工,"教程,创意,长发公主,迪士尼,技巧,变身,惊喜,小技巧,艾莎,做一种很新的手工,一起做手工吧！7.0寻找艺术家企划",我们期待小家伙的到来！艾莎、长发公主和玛琳菲森要当妈妈啦，有什么挑战在等着她们呢？关注LaLiLu，一起看看她们在医院里的冒险吧！
【2025LPL第二赛段】小组赛 JDG vs IG,一叶落zhi天下秋,BV12QoeYsEcq,2025-03-26 15:16:22,37:0,2,3,597,0,电子竞技,"LOL,英雄联盟,单挑,IG,电子竞技,LPL,电竞赛事,直拍,JDG,上B站看演出",
英雄联盟LOL王者教学：武器大师贾克斯,lol超神解说lol,,1970-01-01 08:00:00,,0,0,2259,0,,,
狗熊：永恩大人才是数值怪啊！拼尽全力才能战胜！,王氏上单,BV1wnoeY2E3r,2025-03-27 12:00:00,5:48,198,1285,13582,409,电子竞技,"游戏,LOL,英雄联盟,电子竞技,精彩集锦,MOBA,数值,万物皆可游戏","人如满天星斗，而你皆如万人捧花 *:ஐ٩(๑´ᵕ`)۶ஐ:*点个关注吧[给心心][给心心]

点波关注不迷路各位彦祖！


！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦祖给小王三连吧！这真的很重要！球球各位彦"
《lol手游解说》国一娜美竟然带致命节奏的 随便单杀adc,杨逍逍i,BV1vAUCY6E5t,2024-11-17 18:56:04,13:47,522,5528,180515,863,手机游戏,"游戏解说,英雄联盟手游",-
【極言極语vol.4】梦魇飞谁了？回答我！Look in my eyes！,iG电子竞技俱乐部,BV1EhoiYmEz1,2025-03-26 19:52:57,9:10,990,15198,371710,1465,电子竞技,"搞笑,IG,电子竞技,GALA,MOBA,LPL,Meiko,Rookie,TheShy,Jiejie",喜欢的记得一键三连哦~
【4K60帧】《英雄联盟》完整版故事动画电影合集 超清画质收藏版（截止到2020年9月）,KG-Area21,BV1N54y1y71W,2020-09-27 22:56:44,124:46,6896,32176,1354881,41047,电子竞技,"电子竞技,英雄联盟,LOL,CG,英雄联盟LOL,4K,英雄联盟CG,游戏CG,CG动画,LEAGUE OF LEGENDS","https://youtu.be/aUWb_1fj8-A
LEAGUE OF LEGENDS - The Complete Cinematic Story Movie (2020) 4K ULTRA HD
作者：donHaize
The Cinematic movie for League of Legends 2020 Season including all Cinematics and Cutscenes up to and including September 2020 pieced toget"
【新手癫疯局】小天才最多的一集,零号守夜人,BV1pnwZeaE9k,2025-02-18 11:00:00,16:33,532,1282,44942,170,电子竞技,"搞笑,LOL,娱乐,英雄联盟,新手",
