标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
打野速成魔鬼训练：奶奶看了都连夜上分｜颠覆认知的野区掌控术，&#x27;野区心跳法则&#x27;，对手开局就输一半！,轻狂书生贝蕾亚,BV1T5jBzLE1z,2025-05-28 16:02:17,9:3,288,2782,52792,611,电子竞技,"LOL,英雄联盟,电子竞技,打野,打野教学,游戏日常,教程攻略,细节操作,推荐宝藏游戏,贝蕾亚",每天学一个小技巧，关注我，让你钻石上青铜，少走弯路！
手 游 高 分 段 现 状,纪憨猪,BV1QyoPYmENV,2025-04-16 11:00:16,7:25,484,35129,1171218,5689,电子竞技,"英雄联盟手游,lol手游,轻教学,LOL手游双星璀璨",
残疫佛耶戈毁了LOL手游？一个大招直接秒杀！一个W打出1000伤害！,向大炮来咯,BV1eG7NzhEvp,2025-05-31 18:35:06,3:8,116,4421,93532,522,手机游戏,"搞笑,娱乐,英雄联盟,电子竞技,MOBA,英雄联盟手游",-
惊天大零封！21比0臭不可闻！AL你好狠的心！IG不要面子吗！你要毁了他吗？Theshy时光格温载入史册！各大解说都不敢看，求着AL送一个：IG状态一塌糊涂！,联盟抗压王,BV1nQVuz2Eiw,2025-05-02 07:31:42,17:13,1517,7758,325433,798,电子竞技,"游戏,英雄联盟,IG,AL,电子竞技,LPL,电竞赛事,TheShy,各路解说,LPL激励计划,LPL激励计划第二赛段",五一狂欢节目！依旧享受！大伙舒服了点个赞支持下，关注我可日常收看！
小超梦：爽麻了！盖伦版本垫底？梦导一级急速单杀武器，每次R都要亲自配音！最简单的英雄，最极致的快乐！,空白的心丶z,BV1zxTJzQEPe,2025-06-04 21:44:48,10:27,393,1657,88026,65,电子竞技,"LOL,英雄联盟,剑魔,小超梦,腕豪",超梦峡谷之巅冲第一：https://www.huya.com/257085
众解说看BLG三比零零封TES！闹剧结束了！87分钟速通TES！这差距也太大了！小奶油真红透了！上面那个还是人类的永恩吗？TES用自己被速通洗白IG！太伟大了！,ONeEsc,BV15g7Dz8Et8,2025-06-02 20:11:11,46:34,1433,1811,198904,300,电子竞技,"英雄联盟,TES,BLG,电子竞技,KNIGHT,MOBA,LPL,BIN,JACKEYLOVE,LPL激励计划,LPL激励计划第二赛段",-
lol特约画师ZeenChin教你画出美丽小姐姐,艺类i,,1970-01-01 08:00:00,,0,0,14912,0,,,
【锐评】逆天！JDG千万阵容惨遭穷人线战队WE八强淘汰？JDG VS WE,徐桑,BV1siTuzNEx5,2025-06-06 19:33:57,10:5,1008,6258,281975,527,电子竞技,"游戏,LOL,比赛,英雄联盟,电子竞技,电竞,MOBA,LPL,JDG,2025LPL第二赛段,LPL激励计划第二赛段",
《一点山羊小技巧》,三桥qzg,BV1FW7kzUEHe,2025-06-01 20:34:18,5:46,367,26797,332828,547,网络游戏,"英雄联盟,电子竞技,上单,MOBA,奥恩,下班整点英雄联盟,想起来了我是LOL大王",-
感受下万场负胜率号的恐怖,龙拳SETT,BV1Co76z7EiR,2025-06-01 16:34:24,6:9,205,11937,226462,296,电子竞技,英雄联盟,
全是人情世故？LPL开启“大宫斗时代”？【电竞联播SP】,猛男刘三少,BV1r4Jwz3EW2,2025-05-17 18:00:00,8:2,787,21425,660622,1508,电子竞技,"LOL,英雄联盟,电子竞技,MOBA,LPL,电竞赛事,京东618又好又便宜,京东超级外卖日,518京东超级外卖日",有些事情其实并没有那么复杂
真要把LOL变宝宝联盟？拳头为了留住新玩家有多拼？,联盟进化史阿灰,BV1szjqzuEZ8,2025-05-28 17:36:40,5:19,1321,13545,897503,1149,电子竞技,"LOL,英雄联盟,电子竞技,游戏杂谈,符文,MOBA,游戏盘点,宝宝联盟,联盟进化史,下班整点英雄联盟,想起来了我是LOL大王",盘点联盟史上那些&quot;宝宝级&quot;优化。
英雄联盟LOL王者教学：无双剑姬菲奥娜,lol超神解说lol,,1970-01-01 08:00:00,,0,0,852,0,,,
《6分钟》《巨九》《超神》《慎》,慎ninja,BV1Gz7bzcEXS,2025-06-07 18:00:00,4:4,214,9955,173212,274,电子竞技,"英雄联盟,第一视角,慎,电子竞技,精彩集锦,暮光之眼,上单,拉扯,下班整点英雄联盟,英雄联盟峡谷发明家","我们意念合一，我是真的很需要你的三连
爱你爱你爱你"
Letme看TES被WE淘汰当场失声痛哭 真情流露令人动容！,游戏BBQ,BV1bMTYzrEEq,2025-06-09 12:20:34,6:17,24,360,52829,18,电子竞技,"英雄联盟,TES,WE,电子竞技,LPL,369,JackeyLove,Letme,Monki,Kanavi","Letme直播间：huya518518
大家点赞收藏三连，充电1B币即可获得BBQ粉丝牌哦！"
"王者局20层千珏！谁是最强后期ADC？快速看完一局韩服王者斗殴局#690 Rather, Tianzhen",yizhilugou,BV18hT1z5EqS,2025-06-08 12:05:00,26:56,921,2662,52553,237,电子竞技,"英雄联盟,韩服,电子竞技,王者,精彩集锦,千珏,下班整点英雄联盟,想起来了我是LOL大王","王者局20层千珏！谁是最强后期ADC？快速看完一局韩服王者斗殴局#690 Rather, Tianzhen
BGM:https://music.163.com/playlist?id=650818240&amp;userid=30476594"
【英雄联盟】2021全球总决赛主题曲 《不可阻挡》,英雄联盟,BV17Q4y1C7rP,2021-09-29 08:00:19,3:33,34203,676035,20120400,268206,电子竞技,"电子竞技,英雄联盟,LOL,lol,英雄联盟lol,英雄联盟s11,英雄联盟S11","全新十年，新的传奇正待书写。下定决心的职业选手们，汇聚于各自赛区的秘密训练基地，在追寻突破自我的试炼中，一种神奇变化正在悄然发生，并逐渐席卷全球……

&quot;打破所有障碍，我自有火光，我将不可阻挡&quot;

主打艺人：PVRIS
作词作曲: 拳头游戏音乐团队、Alex Seaver of Mako
制作: 拳头游戏音乐团队	
混音: Eric J、 拳头游戏音乐团队
母带: Mike Bozzi（Bernie Grundman录音棚） 
演唱: PVRIS 
演唱制作: 拳头游戏音乐团队、Alex Seaver o"
LOL新皮肤[原画]曝光!莲华[彗]超帅!黑夜寡妇!至臻劫!新英雄形象!新大乱斗地图!,LOL小绿毛资讯,BV1ExThzHERr,2025-06-09 06:47:46,1:1,170,2922,115081,102,电子竞技,"游戏,LOL,英雄联盟,电子竞技,爆料,资讯,新皮肤,皮肤预览,灵魂莲华,2025LPL第二赛段,LPL激励计划第二赛段","LOL新皮肤[原画]曝光!莲华[彗]超帅!黑夜寡妇!至臻劫!新英雄形象!新大乱斗地图!
视频对你有帮助的话,不妨帮绿毛点个免费的赞呀(º﹃º )喜欢LOL最新资讯视频欢迎关注呀(=・ω・=)
绿毛在此感谢大家的支持,祝大家排位上大分,天天好心情(=・ω・=)"
英雄联盟LOL王者教学：猩红收割者吸血鬼,lol超神解说lol,,1970-01-01 08:00:00,,0,0,1111,0,,,
王慕霸养究极大爹，塞拉斯20杀都带不动，被爆杀后立马改名隐藏战绩【江湖追杀令，有实力的找我报名狙击王慕霸有奖励】,暗夜千易,BV1bzTLz4Ewf,2025-06-07 14:16:47,9:34,602,669,52397,46,电子竞技,"英雄联盟,霸哥,lol",-
上单上分指南：常犯错误 &amp; 如何改正！2025版！【Skill-Capped】,猫猫翻译组,BV162JHzFEcx,2025-05-22 19:07:10,15:33,19,315,10568,373,电子竞技,"LOL,英雄联盟,电子竞技,套路,游戏资讯,MOBA,单排,上分,Skill-Capped,15.10版本","https://www.youtube.com/watch?v=lsPK2SHtvUs
声明如下 ：
1、本视频暂未获得授权
2、视频原作者：油管 Skill-Capped
3、翻译：﻿@猫猫翻译组﻿"
野区孙子兵法！弱势阵容‘乌龟战术’生存指南：用逆向思维规划逃生｜打崩对面心态，再弱也能拖到后期，‘时间差作弊’教学这波野区直接封神！,轻狂书生贝蕾亚,BV16eTtzEEk8,2025-06-05 19:43:21,17:31,596,8119,203781,605,电子竞技,"LOL,英雄联盟,电子竞技,MOBA,打野教学,游戏日常,轻狂书生,贝蕾亚,下班整点英雄联盟",每天学一个小技巧，关注我，让你钻石上青铜，少走弯路！
【英雄联盟】2024赛季影片：不渝,英雄联盟,BV1hV41197rR,2024-01-10 22:55:00,4:20,13427,237611,5485875,68980,网络游戏,"LOL,英雄联盟,MOBA,英雄联盟S14,英雄联盟2024赛季","过去、现在和可能的未来——英雄之心不渝。
剑魔来犯，姐妹同心对敌；路见不平，若是英雄不渝，即便亚索老矣尚能一战；危机四伏，艾希神箭救蛮王
2024赛季即将上线。下一场战斗，你将如何面对？"
